Date,TWTR,KO,GM
2014-05-14,32.849998,31.625164,27.244665
2014-05-15,32.77,31.338993,26.792406
2014-05-16,32.259998,31.625164,26.511694
2014-05-19,32.07,31.485949,26.706636
2014-05-20,31.77,31.385406,25.78652
2014-05-21,31.75,31.609682,26.090622
2014-05-22,31.52,31.385406,26.059437
2014-05-23,30.5,31.385406,26.223185
2014-05-27,30.51,31.532347,26.464907
2014-05-28,33.77,31.385406,26.971752
2014-05-29,34.0,31.447273,26.862587
2014-05-30,32.439999,31.640627,26.963953
2014-06-02,31.75,31.601957,27.182287
2014-06-03,32.580002,31.617424,27.494186
2014-06-04,32.900002,31.547821,28.476685
2014-06-05,33.889999,31.625164,28.281742
2014-06-06,33.330002,31.702511,28.737772
2014-06-09,34.470001,31.640627,28.69845
2014-06-10,35.369999,31.764374,28.619829
2014-06-11,35.540001,31.601957,28.399675
2014-06-12,36.790001,31.496756,27.927923
2014-06-13,36.900002,31.457796,28.014414
2014-06-16,38.02,31.683779,28.352501
2014-06-17,38.02,31.886383,28.588387
2014-06-18,38.740002,32.385098,28.541206
2014-06-19,38.900002,32.564312,28.596245
2014-06-20,39.240002,32.486404,28.4783
2014-06-23,39.52,32.517559,28.832119
2014-06-24,38.48,32.611076,28.761358
2014-06-25,39.459999,32.696777,29.16235
2014-06-26,41.439999,32.751328,29.012962
2014-06-27,40.93,32.876007,28.792809
2014-06-30,40.970001,33.008488,28.541206
2014-07-01,42.049999,32.953934,29.555485
2014-07-02,41.77,32.953934,29.673422
2014-07-03,41.330002,32.907177,29.673422
2014-07-07,40.23,32.837055,29.43754
2014-07-08,37.41,32.68121,29.547611
2014-07-09,38.060001,32.688995,29.854256
2014-07-10,37.84,32.930546,29.681282
2014-07-11,38.330002,32.704578,29.838531
2014-07-14,38.310001,33.024067,29.641966
2014-07-15,37.880001,32.805882,29.547611
2014-07-16,37.43,32.821461,29.468994
2014-07-17,36.869999,32.743542,29.17021
2014-07-18,37.049999,33.063019,29.413952
2014-07-21,38.049999,33.039642,29.429676
2014-07-22,37.650002,32.096779,29.689144
2014-07-23,37.75,31.800671,29.413952
2014-07-24,38.709999,31.925341,28.100897
2014-07-25,38.16,31.948717,27.574112
2014-07-28,37.93,31.699358,27.440441
2014-07-29,38.59,31.442213,27.086626
2014-07-30,46.299999,30.873371,26.976555
2014-07-31,45.189999,30.616219,26.59129
2014-08-01,44.130001,30.616219,26.292507
2014-08-04,43.470001,30.701937,26.42617
2014-08-05,43.830002,30.530504,26.229605
2014-08-06,43.459999,31.10714,26.261055
2014-08-07,43.0,30.662981,26.033035
2014-08-08,43.130001,30.740902,26.363266
2014-08-11,43.27,30.83441,26.575558
2014-08-12,43.810001,30.920126,26.496927
2014-08-13,44.150002,31.122721,26.693499
2014-08-14,45.330002,31.309734,26.693499
2014-08-15,44.759998,31.855204,26.607008
2014-08-18,45.119999,32.221447,27.047316
2014-08-19,45.09,32.151314,27.180979
