Country,Continent,Life_expectancy,GDP_per_capita,Population
Estonia,Europe,77.13170732,17074.92091,1315407.0
Finland,Europe,81.38536585,42405.39744,5479531.0
France,Europe,82.67073171,36526.770110000005,66624068.0
Georgia,Europe,74.81741463,3764.640912,3717100.0
Germany,Europe,81.0902439,41176.88158,81686611.0
Greece,Europe,81.58780488,18007.78991,10820883.0
Hungary,Europe,75.96097561,12365.62603,9843028.0
Iceland,Europe,82.86097561,50734.4436,330815.0
Ireland,Europe,81.50243902,60664.1044,4676835.0
Italy,Europe,83.4902439,30049.14755,60730582.0
Latvia,Europe,74.12439024,13666.583359999999,1977527.0
Liechtenstein,Europe,82.07317073,,37403.0
Lithuania,Europe,75.1195122,14252.428530000001,2904910.0
Luxembourg,Europe,82.22926829,101909.8223,569604.0
Macedonia,Europe,75.49534146,4834.136723,2079308.0
Malta,Europe,81.94634146,23819.4636,431874.0
Moldova,Europe,71.62643902,1832.499052,3554108.0
Monaco,Europe,,,38307.0
Montenegro,Europe,76.33770732,6461.192554,622159.0
Netherlands,Europe,81.70731707,44292.88473,16939923.0
Norway,Europe,82.1,74505.24654,5188607.0
Poland,Europe,78.20487805,12565.9876,37986412.0
Portugal,Europe,81.52195122,19220.00681,10358076.0
Romania,Europe,74.96097561,8958.788593000001,19815481.0
San Marino,Europe,,,32960.0
Serbia,Europe,75.48780488,5237.255334,7095383.0
Slovenia,Europe,81.07804878,20729.863830000002,2063531.0
Spain,Europe,83.3804878,25683.84565,46447697.0
Sweden,Europe,82.55121951,50585.25847,9799186.0
Switzerland,Europe,83.19756098,80989.84023999999,8282396.0
Ukraine,Europe,71.1895122,2124.662666,45154029.0
United Kingdom,Europe,81.60487805,43929.69081,65128861.0
Antigua and Barbuda,North America,76.10021951,13566.90541,99923.0
Bahamas,North America,75.39682927,22888.13405,386838.0
Barbados,North America,75.65843902,15557.83081,284217.0
Belize,North America,70.19236585,4849.9974950000005,359288.0
Canada,North America,82.13763415,43315.70044,35848610.0
Costa Rica,North America,79.58646341,11406.362729999999,4807852.0
Cuba,North America,79.54641463,7602.261218000001,11461432.0
Dominica,North America,,7069.502788,73162.0
Dominican Republic,North America,73.67668293,6468.471648,10528394.0
El Salvador,North America,73.00109756,4127.11775,6312478.0
Grenada,North America,73.523,9212.192824,106823.0
Guatemala,North America,71.9564878,3923.573344,16252429.0
Haiti,North America,63.0737561,814.5463952,10711061.0
Honduras,North America,73.33312195,2326.1585059999998,8960829.0
Jamaica,North America,75.79817073,4965.9898570000005,2871934.0
Mexico,North America,76.92068293,9143.128494,125890949.0
Nicaragua,North America,75.09812195,2095.966488,6082035.0
Panama,North America,77.76729268,13134.043670000001,3969249.0
Trinidad and Tobago,North America,70.55770732,17321.833730000002,1360092.0
